Date|Code|Type|Sec. Num|Price|Local IS|Local CP|Local PF|Local IB|Local ID|Local MF|Local SC|Local FD|Local OT|Total|Foreign IS|Foreign CP|Foreign PF|Foreign IB|Foreign ID|Foreign MF|Foreign SC|Foreign FD|Foreign OT|Total
31-JUL-2026|BAUT|EQUITY|4800182969|29|0|754805300|0|0|1442845329|0|40|41000|58000|2197749669|0|2600000000|0|900|2432400|0|0|0|0|2602433300
31-JUL-2026|BAYU|EQUITY|353220780|1115|607283|125142697|0|27384|30571425|21343300|11081|0|0|177703170|0|30609000|0|126685640|727841|0|772000|0|8901304|167695785
31-JUL-2026|BBCA|EQUITY|123275050000|6325|2406061790|639358985|327545000|437363600|11091661113|1223560978|110263741|73486060|14283100|16323584367|651011685|989616284|4948602260|2510683267|326311580|20232370180|434821897|299882405|5736807195|36130106753
31-JUL-2026|BBHI|EQUITY|21730256442|945|3181|17645935900|0|121354000|1028568815|1457972|21508455|410|4626900|18823455633|0|2346460233|234000|201006402|34354080|4047400|1359330|0|102036799|2689498244
31-JUL-2026|BBKP|EQUITY|187887539870|52|16826800|3040359776|18428342|17583720|23043267001|36570000|60889697|3101954|849287735|27086315025|0|31905551794|66|439189374|209477000|251387872|208567521|0|892830875|33907004502
31-JUL-2026|BBLD|EQUITY|1645796054|590|44535385|1239303040|0|1283|27956178|1125300|33534|0|0|1312954720|0|4811595|0|252292797|70689614|0|193004|0|3530300|331517310
31-JUL-2026|BBMD|EQUITY|4090090000|1960|0|200|0|61093900|194607300|0|0|0|0|255701400|0|0|0|700|63249300|0|111048600|0|0|174298600
31-JUL-2026|BBNI|EQUITY|37297312916|3530|2523036125|165158098|149314902|20204800|3166393359|855670849|77387780|55534442|4127096|7016827451|143774049|227311701|1548813456|615402498|4050932|3873971727|106869892|13505800|1361899068|7895599123
31-JUL-2026|BBRI|EQUITY|151559001604|3040|4753539441|795920740|563675727|945682660|16375479385|2136196407|165153367|362749878|5505306723|31603704328|1396564153|1159327988|7955176783|3662850588|32069802|19258782627|475776573|90085162|5305366268|39335999944
31-JUL-2026|BBRM|EQUITY|8479490328|117|0|6643647184|0|0|346210295|0|258706|66|0|6990116251|0|1114206500|0|296931685|9562331|0|68672432|0|0|1489372948
31-JUL-2026|BBSI|EQUITY|3674723301|4690|0|3273333315|0|0|208431322|0|186|2|0|3481764825|0|0|0|168145186|21866|0|12431|0|0|168179483
31-JUL-2026|BBSS|EQUITY|4800016020|95|0|796862800|0|0|502898320|0|0|0|0|1299761120|0|0|0|239900|10000|0|5000|0|0|254900
31-JUL-2026|BBTN|EQUITY|14034444413|1215|1445455092|79744201|144934100|9107889|1185348507|807829471|49374587|20707895|1269000|3743770742|23849662|72361583|269955237|281353338|2674972|843051523|59077011|66804931|250778066|1869906323
31-JUL-2026|BBYB|EQUITY|13350482346|264|36549617|6631643542|239768|0|2971744821|379800992|123539614|3285003|77556844|10224360201|0|1788465537|52213891|178084413|453986097|298375615|214253455|0|50316563|3035695571
31-JUL-2026|BCAP|EQUITY|42618850927|50|0|22767965120|49201800|0|5454242776|36800600|113015606|0|19607900|28440833802|0|6151211524|0|132184000|30373800|396600|2792817220|0|5071033981|14178017125
31-JUL-2026|BCIC|EQUITY|18109922009|126|0|294364564|0|7192|232062690|205|1716572|99|39|528151361|0|5719946739|0|892358675|1993|0|45400|0|20264|6612373071
31-JUL-2026|BCIP|EQUITY|1429915525|64|18000000|570647120|44057000|0|707886305|70577309|1|0|90|1411167825|0|0|0|10740000|7434000|0|573700|0|0|18747700
31-JUL-2026|BDKR|EQUITY|4725101522|155|0|1390624800|0|0|3304726822|0|0|0|0|4695351622|0|244100|0|23201100|586100|0|146800|0|5571800|29749900
31-JUL-2026|BDMN|EQUITY|9773552870|4200|21511341|186688589|14325810|717|282982693|36625333|10033439|2385671|108100|554661693|0|1317887|9762236|9142393795|1352506|17150947|8800101|0|34667410|9215444882
31-JUL-2026|BEBS|EQUITY|45000000000|5|0|19726560290|0|0|21343748210|0|480|2500|0|41070311480|0|795018225|0|2530697940|2535500|425000|581135645|0|19876210|3929688520
31-JUL-2026|BEEF|EQUITY|8120249598|392|795000|413835039|5129470|322027459|1592611117|0|330|130|0|2334398545|0|5734050343|0|39520462|1115369|0|5991066|0|40|5780677280
31-JUL-2026|BEER|EQUITY|4000000000|76|0|3427306525|5000000|0|182605500|356949800|0|14500075|10000000|3996361900|0|0|0|3395600|241800|0|700|0|0|3638100
31-JUL-2026|BEKS|EQUITY|51870438266|21|150090|522854386|1429400|27553570|16267673612|106985155|314653612|61041|2555718|17243916584|0|1720109|0|298519884|34510770|0|2015209|0|49|336766021
31-JUL-2026|BELI|EQUITY|137218985689|256|0|35872888916|561400|0|1894959427|58401900|179700130|0|0|38006511773|0|0|925821|28745886|6134946|16036477|4077200|0|1355186|57275516
31-JUL-2026|BELL|EQUITY|7250000000|114|0|6593674100|0|0|608284800|0|0|0|0|7201958900|0|214900|0|41683100|47400|0|6095700|0|0|48041100
31-JUL-2026|BESS|EQUITY|3440455528|900|0|503209233|0|0|237242895|0|0|0|0|740452128|0|0|0|2900|500|0|0|0|0|3400
31-JUL-2026|BEST|EQUITY|9647311150|110|134637500|5195453900|2520000|0|2700400211|223274800|224891842|2000|0|8481180253|0|964896100|0|154641809|23605600|0|15987386|0|2|1159130897
31-JUL-2026|BFIN|EQUITY|15039383620|915|360253600|568855780|61571700|176360|2382220148|287924857|20098069|13445600|94947580|3789493694|5541800|903314099|217932534|927055417|4822560|1200594730|143940656|0|7829908970|11233110766
31-JUL-2026|BGTG|EQUITY|23970997103|114|5430800|4975523775|0|0|2561523320|2954600|130|1972137|0|7547404762|0|6083577400|0|40458800|868800|44533200|1820920091|0|50|7990358341
31-JUL-2026|BHAT|EQUITY|5000000000|1770|316460000|2989095875|0|0|120461400|350235900|54570000|0|0|3830823175|0|960125625|0|2374600|25400|0|115200|0|206536000|1169176825
31-JUL-2026|BHIT|EQUITY|86068156705|26|5095000|7271950101|29443900|1000|18241917086|175431160|337867650|19290|46800|26061771987|0|40377581054|0|954650800|49379840|336743300|1932975879|0|16355043845|60006374718
31-JUL-2026|BIKA|EQUITY|592280000|55|0|0|0|0|592179100|0|0|0|0|592179100|0|700|0|100|0|0|100|0|0|900
